[2026-03-09 18:47:53.000000] [CRITICAL] Uncaught Exception: Call to undefined method Layout::end() | File: logger.php:85 | User: guest | {"exception":{"class":"Error","code":0,"file":"C:\\xampp\\htdocs\\v1\\pages\\system-monitor.php","line":544,"trace":"#0 {main}"}}
[2026-03-09 18:48:39.000000] [CRITICAL] Uncaught Exception: Call to undefined method Layout::end() | File: logger.php:85 | User: guest | {"exception":{"class":"Error","code":0,"file":"C:\\xampp\\htdocs\\v1\\pages\\system-monitor.php","line":544,"trace":"#0 {main}"}}
[2026-03-09 18:48:39.000000] [CRITICAL] Uncaught Exception: Call to undefined method Layout::end() | File: logger.php:85 | User: guest | {"exception":{"class":"Error","code":0,"file":"C:\\xampp\\htdocs\\v1\\pages\\system-monitor.php","line":544,"trace":"#0 {main}"}}
[2026-03-09 18:49:39.000000] [CRITICAL] Uncaught Exception: Call to undefined method Layout::end() | File: logger.php:85 | User: guest | {"exception":{"class":"Error","code":0,"file":"C:\\xampp\\htdocs\\v1\\pages\\system-monitor.php","line":544,"trace":"#0 {main}"}}
[2026-03-09 18:49:39.000000] [CRITICAL] Uncaught Exception: Call to undefined method Layout::end() | File: logger.php:85 | User: guest | {"exception":{"class":"Error","code":0,"file":"C:\\xampp\\htdocs\\v1\\pages\\system-monitor.php","line":544,"trace":"#0 {main}"}}
[2026-03-09 18:50:39.000000] [CRITICAL] Uncaught Exception: Call to undefined method Layout::end() | File: logger.php:85 | User: guest | {"exception":{"class":"Error","code":0,"file":"C:\\xampp\\htdocs\\v1\\pages\\system-monitor.php","line":544,"trace":"#0 {main}"}}
[2026-03-09 18:50:39.000000] [CRITICAL] Uncaught Exception: Call to undefined method Layout::end() | File: logger.php:85 | User: guest | {"exception":{"class":"Error","code":0,"file":"C:\\xampp\\htdocs\\v1\\pages\\system-monitor.php","line":544,"trace":"#0 {main}"}}
[2026-03-09 18:50:58.000000] [CRITICAL] Uncaught Exception: Call to undefined method Layout::end() | File: logger.php:85 | User: guest | {"exception":{"class":"Error","code":0,"file":"C:\\xampp\\htdocs\\v1\\pages\\system-monitor.php","line":544,"trace":"#0 {main}"}}
[2026-03-09 18:50:58.000000] [CRITICAL] Uncaught Exception: Call to undefined method Layout::end() | File: logger.php:85 | User: guest | {"exception":{"class":"Error","code":0,"file":"C:\\xampp\\htdocs\\v1\\pages\\system-monitor.php","line":544,"trace":"#0 {main}"}}
[2026-03-09 18:51:00.000000] [CRITICAL] Uncaught Exception: Call to undefined method Layout::end() | File: logger.php:85 | User: guest | {"exception":{"class":"Error","code":0,"file":"C:\\xampp\\htdocs\\v1\\pages\\system-monitor.php","line":544,"trace":"#0 {main}"}}
[2026-03-09 18:51:00.000000] [CRITICAL] Uncaught Exception: Call to undefined method Layout::end() | File: logger.php:85 | User: guest | {"exception":{"class":"Error","code":0,"file":"C:\\xampp\\htdocs\\v1\\pages\\system-monitor.php","line":544,"trace":"#0 {main}"}}
[2026-03-09 18:51:00.000000] [CRITICAL] Uncaught Exception: Call to undefined method Layout::end() | File: logger.php:85 | User: guest | {"exception":{"class":"Error","code":0,"file":"C:\\xampp\\htdocs\\v1\\pages\\system-monitor.php","line":544,"trace":"#0 {main}"}}
[2026-03-09 18:51:03.000000] [CRITICAL] Uncaught Exception: Call to undefined method Layout::end() | File: logger.php:85 | User: guest | {"exception":{"class":"Error","code":0,"file":"C:\\xampp\\htdocs\\v1\\pages\\system-monitor.php","line":544,"trace":"#0 {main}"}}
[2026-03-09 18:51:03.000000] [CRITICAL] Uncaught Exception: Call to undefined method Layout::end() | File: logger.php:85 | User: guest | {"exception":{"class":"Error","code":0,"file":"C:\\xampp\\htdocs\\v1\\pages\\system-monitor.php","line":544,"trace":"#0 {main}"}}
[2026-03-09 18:51:03.000000] [CRITICAL] Uncaught Exception: Call to undefined method Layout::end() | File: logger.php:85 | User: guest | {"exception":{"class":"Error","code":0,"file":"C:\\xampp\\htdocs\\v1\\pages\\system-monitor.php","line":544,"trace":"#0 {main}"}}
[2026-03-09 18:51:04.000000] [CRITICAL] Uncaught Exception: Call to undefined method Layout::end() | File: logger.php:85 | User: guest | {"exception":{"class":"Error","code":0,"file":"C:\\xampp\\htdocs\\v1\\pages\\system-monitor.php","line":544,"trace":"#0 {main}"}}
[2026-03-09 18:51:05.000000] [CRITICAL] Uncaught Exception: Call to undefined method Layout::end() | File: logger.php:85 | User: guest | {"exception":{"class":"Error","code":0,"file":"C:\\xampp\\htdocs\\v1\\pages\\system-monitor.php","line":544,"trace":"#0 {main}"}}
[2026-03-09 18:51:05.000000] [CRITICAL] Uncaught Exception: Call to undefined method Layout::end() | File: logger.php:85 | User: guest | {"exception":{"class":"Error","code":0,"file":"C:\\xampp\\htdocs\\v1\\pages\\system-monitor.php","line":544,"trace":"#0 {main}"}}
[2026-03-09 18:51:35.000000] [CRITICAL] Uncaught Exception: Call to undefined method Layout::end() | File: logger.php:85 | User: guest | {"exception":{"class":"Error","code":0,"file":"C:\\xampp\\htdocs\\v1\\pages\\system-monitor.php","line":544,"trace":"#0 {main}"}}
[2026-03-09 18:51:35.000000] [CRITICAL] Uncaught Exception: Call to undefined method Layout::end() | File: logger.php:85 | User: guest | {"exception":{"class":"Error","code":0,"file":"C:\\xampp\\htdocs\\v1\\pages\\system-monitor.php","line":544,"trace":"#0 {main}"}}
[2026-03-09 18:52:05.000000] [CRITICAL] Uncaught Exception: Call to undefined method Layout::end() | File: logger.php:85 | User: guest | {"exception":{"class":"Error","code":0,"file":"C:\\xampp\\htdocs\\v1\\pages\\system-monitor.php","line":544,"trace":"#0 {main}"}}
[2026-03-09 18:52:05.000000] [CRITICAL] Uncaught Exception: Call to undefined method Layout::end() | File: logger.php:85 | User: guest | {"exception":{"class":"Error","code":0,"file":"C:\\xampp\\htdocs\\v1\\pages\\system-monitor.php","line":544,"trace":"#0 {main}"}}
[2026-03-09 18:52:35.000000] [CRITICAL] Uncaught Exception: Call to undefined method Layout::end() | File: logger.php:85 | User: guest | {"exception":{"class":"Error","code":0,"file":"C:\\xampp\\htdocs\\v1\\pages\\system-monitor.php","line":544,"trace":"#0 {main}"}}
[2026-03-09 18:52:35.000000] [CRITICAL] Uncaught Exception: Call to undefined method Layout::end() | File: logger.php:85 | User: guest | {"exception":{"class":"Error","code":0,"file":"C:\\xampp\\htdocs\\v1\\pages\\system-monitor.php","line":544,"trace":"#0 {main}"}}
[2026-03-09 18:53:05.000000] [CRITICAL] Uncaught Exception: Call to undefined method Layout::end() | File: logger.php:85 | User: guest | {"exception":{"class":"Error","code":0,"file":"C:\\xampp\\htdocs\\v1\\pages\\system-monitor.php","line":544,"trace":"#0 {main}"}}
[2026-03-09 18:53:05.000000] [CRITICAL] Uncaught Exception: Call to undefined method Layout::end() | File: logger.php:85 | User: guest | {"exception":{"class":"Error","code":0,"file":"C:\\xampp\\htdocs\\v1\\pages\\system-monitor.php","line":544,"trace":"#0 {main}"}}
[2026-03-09 18:53:29.000000] [CRITICAL] Uncaught Exception: Call to undefined method Layout::end() | File: logger.php:85 | User: guest | {"exception":{"class":"Error","code":0,"file":"C:\\xampp\\htdocs\\v1\\pages\\system-monitor.php","line":544,"trace":"#0 {main}"}}
[2026-03-09 18:53:29.000000] [CRITICAL] Uncaught Exception: Call to undefined method Layout::end() | File: logger.php:85 | User: guest | {"exception":{"class":"Error","code":0,"file":"C:\\xampp\\htdocs\\v1\\pages\\system-monitor.php","line":544,"trace":"#0 {main}"}}
[2026-03-09 18:53:29.000000] [CRITICAL] Uncaught Exception: Call to undefined method Layout::end() | File: logger.php:85 | User: guest | {"exception":{"class":"Error","code":0,"file":"C:\\xampp\\htdocs\\v1\\pages\\system-monitor.php","line":544,"trace":"#0 {main}"}}
